Record_ID,Tortoise_ID,Tortoise_No,Sample_Date,ELISA_Date,Mag_A405,Mag_Titer,Mag_Result,Mtest_A405,Mtest_Titer,Mtest_Result,Comments,Mag_UseResult,Mtest_UseResult,DataProofed
1374,BS120,120,5/17/2013,5/30/2013,0.0105,<32,Negative,0.0235,<32,Negative,,1,1,1
1375,BS122,122,5/18/2013,5/28/2013,0.0235,<32,Negative,0.0065,<32,Negative,,1,1,1
1377,BS124,124,5/15/2013,5/30/2013,-0.007,<32,Negative,0.012,<32,Negative,,1,1,1
1378,BS125,125,5/15/2013,5/30/2013,0.0005,<32,Negative,0.012,<32,Negative,,1,1,1
1379,BS126,126,5/16/2013,5/30/2013,0.0135,<32,Negative,0.0695,<32,Negative,,1,1,1
1380,BS127,127,5/15/2013,5/30/2013,-0.0025,<32,Negative,0.0045,<32,Negative,,1,1,1
1381,BS128,128,5/18/2013,5/30/2013,-0.014,<32,Negative,0.005,<32,Negative,,1,1,1
1382,BS129,129,5/19/2013,5/30/2013,0.0785,32,Suspect,0.022,<32,Negative,,1,1,1
1383,BS130,130,5/17/2013,5/30/2013,-0.01,<32,Negative,-0.0025,<32,Negative,,1,1,1
1384,BS131,131,5/18/2013,5/30/2013,-0.002,<32,Negative,0.0355,<32,Negative,,1,1,1
1385,BS132,132,5/19/2013,5/28/2013,0.0085,<32,Negative,0.005,<32,Negative,,1,1,1
1386,BS134,134,5/7/2013,5/30/2013,-0.0085,<32,Negative,-0.001,<32,Negative,,1,1,1
1387,BS135,135,5/18/2013,5/30/2013,0.0615,<32,Negative,0.1115,32,Suspect,,1,1,1
1388,BS136,136,5/19/2013,5/30/2013,0.0155,<32,Negative,0.0075,<32,Negative,,1,1,1
1389,BS137,137,5/15/2013,5/30/2013,0.002,<32,Negative,0.0405,<32,Negative,,1,1,1
1390,BS138,138,5/15/2013,5/30/2013,-0.0015,<32,Negative,0.018,<32,Negative,,1,1,1
1391,BS139,139,5/15/2013,5/30/2013,-0.0045,<32,Negative,0.019,<32,Negative,,1,1,1
1392,BS140,140,5/16/2013,5/30/2013,-0.021,<32,Negative,-0.025,<32,Negative,,1,1,1
1393,BS141,141,5/18/2013,5/30/2013,-0.003,<32,Negative,0.0165,<32,Negative,,1,1,1
1394,BS142,142,5/15/2013,5/30/2013,-0.0065,<32,Negative,0.005,<32,Negative,,1,1,1
1395,BS143,143,5/15/2013,5/30/2013,-0.004,<32,Negative,0.023,<32,Negative,,1,1,1
1396,BS145,145,5/15/2013,5/30/2013,-0.006,<32,Negative,-0.0015,<32,Negative,,1,1,1
1397,BS147,147,5/18/2013,5/30/2013,0.0155,<32,Negative,0.014,<32,Negative,,1,1,1
1398,BS148,148,5/16/2013,5/30/2013,0.018,<32,Negative,0.0505,<32,Negative,,1,1,1
1399,BS150,150,5/15/2013,5/30/2013,-0.01,<32,Negative,0.017,<32,Negative,,1,1,1
1400,BS153,153,5/17/2013,5/30/2013,-0.016,<32,Negative,0.005,<32,Negative,,1,1,1
1401,BS155,155,5/17/2013,5/30/2013,-0.013,<32,Negative,0.023,<32,Negative,,1,1,1
1402,BS156,156,5/17/2013,5/30/2013,-0.004,<32,Negative,-0.006,<32,Negative,,1,1,1
1403,BS158,158,5/16/2013,5/30/2013,0.035,<32,Negative,0.056,<32,Negative,,1,1,1
1404,BS159,159,5/19/2013,6/5/2013,0.003,<32,Negative,0.0475,<32,Negative,,1,1,1
1405,BS160,160,5/19/2013,5/30/2013,-0.004,<32,Negative,0.043,<32,Negative,,1,1,1
1406,BS161,161,5/18/2013,5/30/2013,-0.0105,<32,Negative,0.017,<32,Negative,,1,1,1
1410,BS257,257,5/17/2013,5/28/2013,0.009,<32,Negative,0.0195,<32,Negative,,1,1,1
1412,BS265,265,5/16/2013,5/30/2013,0.0055,<32,Negative,0.0545,<32,Negative,,1,1,1
1413,BS266,266,5/17/2013,5/28/2013,-0.0025,<32,Negative,-0.0055,<32,Negative,,1,1,1
1418,BS275,275,5/19/2013,5/28/2013,0.0075,<32,Negative,0.0085,<32,Negative,,1,1,1
1423,BS289,289,5/16/2013,5/30/2013,0.0045,<32,Negative,0.023,<32,Negative,,1,1,1
1424,BS290,290,5/18/2013,5/30/2013,-0.0115,<32,Negative,0.0035,<32,Negative,,1,1,1
1425,BS291,291,5/16/2013,5/30/2013,0.029,<32,Negative,0.0225,<32,Negative,,1,1,1
1426,BS294,294,5/16/2013,5/28/2013,0.011,<32,Negative,0.008,<32,Negative,,1,1,1
1430,BS310,310,5/16/2013,5/30/2013,-0.0115,<32,Negative,0.021,<32,Negative,,1,1,1
1431,BS316,316,5/19/2013,6/5/2013,-0.0045,<32,Negative,0.0205,<32,Negative,,1,1,1
1432,BS317,317,5/15/2013,5/30/2013,-0.005,<32,Negative,0.008,<32,Negative,,1,1,1
1433,BS320,320,5/16/2013,5/30/2013,0.016,<32,Negative,0.0345,<32,Negative,,1,1,1
1434,BS321,321,5/15/2013,5/30/2013,-0.011,<32,Negative,-0.0045,<32,Negative,,1,1,1
1435,BS323,323,5/15/2013,5/30/2013,-0.0045,<32,Negative,0.0065,<32,Negative,,1,1,1
1436,BS324,324,5/15/2013,5/30/2013,-0.014,<32,Negative,-0.005,<32,Negative,,1,1,1
1437,BS336,336,5/19/2013,6/5/2013,-0.013,<32,Negative,0.026,<32,Negative,,1,1,1
1439,BS339,339,5/15/2013,5/30/2013,-0.0045,<32,Negative,0.0055,<32,Negative,,1,1,1
1441,BS342,342,5/18/2013,5/30/2013,-0.0115,<32,Negative,-0.0125,<32,Negative,,1,1,1
1443,BS345,345,5/19/2013,6/5/2013,-0.007,<32,Negative,0.024,<32,Negative,,1,1,1
1444,BS349,349,5/18/2013,5/30/2013,0.0065,<32,Negative,0.0095,<32,Negative,,1,1,1
1446,BS354,354,5/19/2013,6/5/2013,-0.0075,<32,Negative,0.0135,<32,Negative,,1,1,1
1447,BS539,539,5/19/2013,6/5/2013,0.0105,<32,Negative,0.053,<32,Negative,,1,1,1
1448,BS561,561,5/19/2013,6/5/2013,0.013,<32,Negative,0.085,32,Suspect,,1,1,1
1449,BS576,576,5/19/2013,6/5/2013,-0.008,<32,Negative,0.0275,<32,Negative,,1,1,1
1450,BS06,6,5/20/2013,6/13/2013,0.224,128,Positive,0.075,<32,Negative,,1,1,1
1451,BS17,17,5/20/2013,6/13/2013,0.0615,32,Suspect,0.0365,<32,Negative,,1,1,1
1452,BS19,19,5/20/2013,6/13/2013,0.033,<32,Negative,0.0375,<32,Negative,,1,1,1
1453,BS31,31,5/20/2013,6/13/2013,0.015,<32,Negative,0.03,<32,Negative,,1,1,1
1454,BS36,36,5/20/2013,6/13/2013,0.014,<32,Negative,0.029,<32,Negative,,1,1,1
1455,BS44,44,5/20/2013,6/13/2013,-0.0075,<32,Negative,0.014,<32,Negative,,1,1,1
1456,BS70,70,5/20/2013,6/13/2013,0.0565,32,Suspect,0.1235,32,Suspect,,1,1,1
1457,BS91,91,5/20/2013,6/13/2013,0.0255,<32,Negative,0.075,<32,Negative,,1,1,1
1458,BS99,99,5/20/2013,6/13/2013,0.0215,<32,Negative,0.042,<32,Negative,,1,1,1
1459,BS102,102,5/20/2013,6/13/2013,0.033,<32,Negative,0.0115,<32,Negative,,1,1,1
1460,BS500,500,5/20/2013,6/13/2013,-0.005,<32,Negative,0.008,<32,Negative,,1,1,1
1461,BS504,504,5/20/2013,6/13/2013,-0.003,<32,Negative,0.012,<32,Negative,,1,1,1
1462,BS506,506,5/20/2013,6/13/2013,0.011,<32,Negative,0.033,<32,Negative,,1,1,1
1463,BS510,510,5/20/2013,6/13/2013,0.0005,<32,Negative,0.0235,<32,Negative,,1,1,1
1464,BS515,515,5/20/2013,6/13/2013,-0.009,<32,Negative,0.0185,<32,Negative,,1,1,1
1465,BS520,520,5/20/2013,6/13/2013,0.007,<32,Negative,0.032,<32,Negative,,1,1,1
1466,BS542,542,5/20/2013,6/13/2013,0.0185,<32,Negative,0.0275,<32,Negative,,1,1,1
1467,BS545,545,5/20/2013,6/13/2013,0.0095,<32,Negative,0.0315,<32,Negative,,1,1,1
1468,BS565,565,5/20/2013,6/13/2013,0.001,<32,Negative,0.023,<32,Negative,,1,1,1
1469,BS566,566,5/20/2013,6/13/2013,0.0045,<32,Negative,0.0235,<32,Negative,,1,1,1
1470,BS568,568,5/20/2013,6/13/2013,0.013,<32,Negative,0.061,<32,Negative,,1,1,1
1471,BS575,575,5/20/2013,6/13/2013,0.0165,<32,Negative,0.022,<32,Negative,,1,1,1
1472,BS582,582,5/20/2013,6/13/2013,0.0015,<32,Negative,0.01,<32,Negative,,1,1,1
